t	CO	PV
0	100	26.63755458515284
1	100	26.49199417758369
2	100	26.63755458515284
3	100	26.63755458515284
4	100	26.49199417758369
5	100	26.49199417758369
6	100	26.34643377001456
7	100	26.63755458515284
8	100	26.63755458515284
9	100	26.20087336244542
10	100	26.783114992721977
11	100	26.34643377001456
12	100	26.34643377001456
13	100	26.783114992721977
14	100	26.49199417758369
15	100	26.928675400291127
16	100	26.49199417758369
17	100	26.928675400291127
18	100	26.63755458515284
19	100	27.074235807860266
20	100	27.074235807860266
21	100	26.63755458515284
22	100	27.2197962154294
23	100	27.23435225618631
24	100	28.10771470160117
25	100	26.783114992721977
26	100	27.08879184861718
27	100	28.10771470160117
28	100	27.2197962154294
29	100	27.08879184861718
30	100	28.2532751091703
31	100	26.783114992721977
32	100	27.365356622998547
33	100	26.94323144104804
34	100	27.96215429403202
35	100	28.10771470160117
36	100	26.928675400291127
37	100	26.94323144104804
38	100	27.81659388646288
39	100	27.365356622998547
40	100	26.928675400291127
41	100	27.510917030567683
42	100	27.074235807860266
43	100	27.074235807860266
44	100	27.2197962154294
45	100	27.510917030567683
46	100	27.656477438136832
47	100	27.656477438136832
48	100	27.802037845705968
49	100	27.2197962154294
50	100	27.510917030567683
51	100	27.802037845705968
52	100	27.510917030567683
53	100	28.093158660844253
54	100	27.656477438136832
55	100	28.093158660844253
56	100	27.656477438136832
57	100	28.23871906841339
58	100	27.802037845705968
59	100	27.802037845705968
60	100	28.23871906841339
61	100	27.947598253275103
62	100	28.384279475982535
63	100	28.384279475982535
64	100	27.947598253275103
65	100	28.529839883551677
66	100	28.093158660844253
67	100	28.529839883551677
68	100	28.093158660844253
69	100	28.67540029112081
70	100	28.23871906841339
71	100	28.67540029112081
72	100	28.82096069868996
73	100	28.23871906841339
74	100	28.82096069868996
75	100	28.384279475982535
76	100	28.96652110625909
77	100	28.384279475982535
78	100	28.529839883551677
79	100	28.529839883551677
80	100	28.96652110625909
81	100	28.67540029112081
82	100	28.67540029112081
83	100	29.25764192139738
84	100	28.82096069868996
85	100	29.25764192139738
86	100	29.403202328966515
87	100	28.82096069868996
88	100	28.96652110625909
89	100	29.403202328966515
90	100	29.548762736535664
91	100	28.96652110625909
92	100	29.112081513828244
93	100	29.548762736535664
94	100	29.112081513828244
95	100	29.25764192139738
96	100	29.83988355167395
97	100	29.25764192139738
98	100	29.403202328966515
99	100	29.83988355167395
100	100	29.985443959243085
101	100	29.403202328966515
102	100	29.985443959243085
103	100	29.548762736535664
104	100	30.13100436681222
105	100	29.548762736535664
106	100	30.13100436681222
107	100	30.27656477438137
108	100	29.83988355167395
109	100	30.27656477438137
110	100	29.83988355167395
111	100	30.422125181950506
112	100	30.422125181950506
113	100	30.13100436681222
114	100	30.56768558951965
115	100	30.13100436681222
116	100	30.56768558951965
117	100	30.27656477438137
118	100	30.71324599708879
119	100	30.71324599708879
120	100	30.27656477438137
121	100	30.858806404657926
122	100	30.422125181950506
123	100	30.858806404657926
124	100	30.422125181950506
125	100	30.71324599708879
126	100	31.29548762736536
127	100	31.29548762736536
128	100	30.71324599708879
129	100	31.441048034934497
130	100	30.858806404657926
131	100	30.858806404657926
132	100	31.441048034934497
133	100	31.14992721979621
134	100	31.586608442503632
135	100	31.586608442503632
136	100	31.14992721979621
137	100	31.73216885007278
138	100	31.29548762736536
139	100	31.73216885007278
140	100	31.29548762736536
141	100	31.87772925764192
142	100	31.441048034934497
143	100	31.87772925764192
144	100	32.02328966521107
145	100	31.441048034934497
146	100	32.02328966521107
147	100	31.586608442503632
148	100	32.1688500727802
149	100	31.586608442503632
150	100	31.73216885007278
151	100	32.1688500727802
152	100	31.73216885007278
153	100	32.31441048034935
154	100	32.31441048034935
155	100	32.02328966521107
156	100	32.45997088791849
157	100	32.02328966521107
158	100	32.1688500727802
159	100	32.45997088791849
160	100	32.1688500727802
161	100	32.75109170305677
162	100	32.31441048034935
163	100	32.75109170305677
164	100	32.31441048034935
165	100	32.89665211062591
166	100	32.45997088791849
167	100	32.89665211062591
168	100	32.45997088791849
169	100	32.60553129548762
170	100	33.18777292576419
171	100	32.60553129548762
172	100	33.18777292576419
173	100	32.75109170305677
174	100	33.33333333333333
175	100	32.75109170305677
176	100	32.89665211062591
177	100	33.33333333333333
178	100	32.89665211062591
179	100	33.624454148471614
180	100	33.624454148471614
181	100	33.33333333333333
182	100	33.9155749636099
183	100	33.33333333333333
184	100	33.9155749636099
185	100	33.47889374090248
186	100	34.061135371179034
187	100	33.47889374090248
188	100	33.624454148471614
189	100	34.061135371179034
190	100	33.624454148471614
191	100	34.35225618631732
192	100	33.9155749636099
193	100	34.35225618631732
194	100	33.9155749636099
195	100	34.49781659388647
196	100	34.061135371179034
197	100	34.49781659388647
198	100	34.643377001455605
199	100	34.061135371179034
200	100	34.643377001455605
201	100	34.78893740902474
202	100	34.35225618631732
203	100	34.78893740902474
204	100	34.35225618631732
205	100	34.643377001455605
206	100	35.225618631732175
207	100	34.643377001455605
208	100	34.78893740902474
209	100	35.225618631732175
210	100	34.78893740902474
211	100	35.37117903930131
212	100	34.93449781659389
213	100	35.37117903930131
214	100	34.93449781659389
215	100	35.516739446870446
216	100	35.080058224163025
217	100	35.516739446870446
218	100	35.080058224163025
219	100	35.662299854439595
220	100	35.225618631732175
221	100	35.662299854439595
222	100	35.225618631732175
223	100	35.95342066957788
224	100	35.516739446870446
225	100	35.95342066957788
226	100	35.516739446870446
227	100	36.098981077147016
228	100	35.662299854439595
229	100	36.098981077147016
230	100	35.662299854439595
231	100	36.24454148471616
232	100	35.80786026200873
233	100	36.24454148471616
234	100	35.80786026200873
235	100	36.3901018922853
236	100	35.95342066957788
237	100	36.3901018922853
238	100	36.53566229985444
239	100	35.95342066957788
240	100	36.53566229985444
241	100	36.68122270742358
242	100	36.24454148471616
243	100	36.68122270742358
244	100	36.24454148471616
245	100	36.82678311499272
246	100	36.3901018922853
247	100	36.82678311499272
248	100	36.3901018922853
249	100	36.53566229985444
250	100	37.11790393013101
251	100	36.53566229985444
252	100	37.11790393013101
253	100	37.409024745269285
254	100	36.97234352256186
255	100	37.409024745269285
256	100	36.97234352256186
257	100	37.55458515283843
258	100	37.55458515283843
259	100	37.26346433770014
260	100	37.70014556040757
261	100	37.26346433770014
262	100	37.70014556040757
263	100	37.409024745269285
264	100	37.409024745269285
265	100	37.99126637554585
